,location,date,job,rating,review_title,review_content
586," London, ON ", 14 June 2019,Customer Experience Lead,3.0,Review Summary,"The bank is a welcoming environment and will assist in creating your own future within the banking world. My day as CEL I open the branch and set up cash with the CRs and then throughout the day I assist the FAs, CRs and BM in daily tasks regarding the branch and maintenance and I also am a first response for and customer concerns."
587, Toronto , 13 June 2019,Teller,3.0,No proper training,There is a lot of work involved with being a teller and little pay for it. Management is lazy on training and then gets mad when you screw up since they didn't bother to teach you. Benefits are good if you last long enough to enjoy them.
588," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
589," Halifax, NS ", 12 June 2019,Customer care advisor (Contact center),4.0,Good start,"Amazing coworkers, supportive supervisors.There is lot of growth if you are smart and have patience for right time. most of the managers are great except mine sadly. Not good pay compare to other banks for the same job.200% stressful."
590," Stratford, ON ", 12 June 2019,Business Analyst,4.0,Fun place With Ping Pong Table,great work life balance that the opportunities always present.Management is very caring of their employees and encourage you to develop a broader skill set. Overall amazing place to work
591," Toronto, ON ", 11 June 2019,Senior Analyst,4.0,Very inclusive culture,"* Moderate pace* Varied learning opportunities* Management was very approachable* Workplace culture was inclusive* Hardest part of the job was the lack of challenges* Most enjoyable part of the job was the people"
592," North York, ON ", 11 June 2019,HR/Employee Service Consultant,4.0,Product & fun environment,It was a great experience. Loved the culture. Loved coming in to work everyday. Typical 9-5. The hardest part about leaving the job was going due to numerous personal issues I was going through at the time as an individual.
593," Toronto, ON ", 3 June 2019,Analyst,5.0,Working At Scotiabank,A great place to work!! Great environment with a great team spirit. Good systems with technology. Good training opportunity to learn new skills. Good mentorship
594," Toronto, ON ", 3 June 2019,Application System Analyst,4.0,Good for learning and good workplace culture,"Good for learning and good workplace culture. Management is good, no strick micromanagement and 24/7 rotational shift does allow work from home environment"
595," Scarborough, ON ", 30 May 2019,T. Manager / Consultant,1.0,One of the worst place I have worked.,"One of the worst place I have worked... when I joined the Scotia project thru TechM., I was supposed to get Scotia security credentials...but I was told to use the credentials of the guy who left the organization and I was filling his position...I kept asking for my login credentials but was told...they are on the way / in the process...When 7-8 months passed, I wrote a strong mail to the Scotia Program Manager / TechM. Manager and ask again for my security / login credentials...I was relieved from the project soon after 2 weeks after this email...Then I was Interviewed by other Scotia managers for other positions available within Scotia...I was asked to join a project next week...I said as I don't have Scotia Id...I can't join right away...need to expedite the process to get my Scotia IDs...The manager was surprised...and asked how I was working since then...I said I was told to use someone else's Id... I couldn't join the project... --------------------------------------------------------------------------------------I saw several times the menstruation cycle dirty pads in the parking lot of SCOTIA...what a wonderful management...!!!"
596," Cornwall, ON ", 30 May 2019,Bilingual Customer Service Officer,1.0,Horrible management,Customers are nicer than management and easier to deal with.They prove again and again by their own actions that they don't care about their staff. Not flexible for work-life balance as they proudly advertise. One of the worst places I have ever work at.Good insurance benefit package and great co-workers who are kind and genuine. (call centre). Choatic.
597," Toronto, ON ", 29 May 2019,Senior Scrum Master,4.0,From a contractor,"I worked at Scotiabank as contract for more than 5 year Pros Nice co workers, good working environment Cons Not much development, too slow paced Advice to Management Focus more on where you're employees want to go"
598, Senior Project Control Officer (Former Employee) ," Scarborough, ON and Toronto ",IT Consultant - Senior Project Control Officer,3.0,Overall not a bad place to work but room for improvement,Processes are very outdated..company spends $$ on improvements with Customers but back end is still too outgdated and needs to be refined.  Salary is not aligned with other banks for senior PCO/Jr. PM ..hightest is :54.00 per hr.
599," Mississauga, ON ", 28 May 2019,Customer Service Representative,3.0,Job Security,"Though I learned a lot working here, it was hard to get hours when I needed them, and tellers were becoming obsolete with the automation pilot and the universal banker notion."
600," Calgary, AB ", 28 May 2019,Manager,1.0,Worst place as a BANK,Terrible services racist and also questioned me ...what you will do with that cash you withdraw?....worst BANK IN CALGARY MIDNAPORE SCOTIABANK SH......
601," Toronto, ON ", 22 May 2019,Financial Advisor,4.0,Scotia Bank Call center at Teleperfomance Canada,"Being a part of Scotia Banks outsourced services, the salary packages are not as competitive for the expected/required results. But working at Teleperformance (Scotia Bank Team) is a experice which will a crucial asset in furthering one's career in banking."
602, Toronto , 17 May 2019,Manager Audit,3.0,Overall rating is 2 to 3 star for each factor,Overall rating for each of the above factor is between 2 to 3 star for each factor . Culture has both pros and cons depending upon the factor and person
603," Toronto, ON ", 17 May 2019,"QA Lead, Manual Testing",4.0,office location,Office location is good. technology is also good. not too flexible with Work from home.Management should get involved in project and know about individual capability rather than getting feedback from the leads. Peek in JIRA or ALM see the defects count and execution summary of each individuals contribution.
604," Toronto, ON ", 16 May 2019,Bank Teller,4.0,Fun loving company,"Excellent company with great benefits, employees and salary. Learned a lot as it was my first Canadian experience. Great team morale and company values."
605," Toronto, ON ", 16 May 2019,Summer Strategy Analyst,2.0,Very mediocre pay and poor managemebt,Management neglected staff and often seemed disinterested. Employee culture was OK and jobs are often very mundane. Lots of employees to connect with but overall not impressed with the job or company.
606,Money Laundering/ TF (Current Employee) ," Mississauga, ON ","Analyst, Anti-Money Laundering/ TF",4.0,Productive,AML/TF is extremely important department and I've learned a lot of things about a bank I've had no knowledge about. It is an amazing experience to be part of a department that does this line of work.
607," Bedford, NS ", 14 May 2019,Customer Service Representative,4.0,Branch level,"Great location. Training is given, however your manager is not always there to help if you have questions. Everyday is different as customers can bring in new learning opportunities."
608," Halifax, NS ", 11 May 2019,Banking Officer,1.0,abusive biased behavior,administration is biased. they trap you with ludicrous job requirements. Too shrewd to work with. Liable to be sued for their malpractice! They change supervisors like you change socks!
609," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
610," Milton, ON ", 10 May 2019,Customer Service Representative,4.0,fast paced service environment,dealing with many different faces on the front lines as a CSR provides unique insights for managing various customer relationships. CSR works closely with service manager and financial advisors to authorize high limits and schedule sales meetings.
611," Toronto, ON ", 10 May 2019,Technical Specialist,1.0,Stay Away!,"Manager are free to bully staff at will,  they are free to make up lies and basically do what ever they want to ruin you life. They will act as if they care but what they are really doing is setting you up.   Stay away from this place"
612," Halifax, NS ", 9 May 2019,Customer Representative,4.0,n/a,"Good job, starts at reasonable time, normal 9-5 work day. good people everyday, and dealing with customers is nice with friendly people. all around a good job."
613, AML/ATF and Sanctions Audit (Current Employee) ," 44 King St West, Toronto, Ontario ",Audit Manager - AML/ATF and Sanctions Audit,2.0,Scotiabank's culture and respect for others,"Since the latest CEO took over the Bank, the employees do not matter. He keeps getting people fired, many people are suffering from strokes and heart attacks and that is all because of the intense stress we have to face daily."
614," Abbotsford, BC ", 9 May 2019,Customer Representative (Teller),5.0,Fun work enviroment,Amazing work environment. Really supportive co-workers and management. Management is really focused on making sure everyone moves forward. Management does coaching sessions regularly to check on your development and what your future plans are.
615," Montréal, QC ", 8 May 2019,Collections Officer,4.0,Great Place to work,This is a great place to work. High paced environment. Great employees. Great managers! The training was very good and everyone is willing to help when available.
616," Toronto, ON ", 8 May 2019,Financial Advisor,4.0,Great Work/Life Balance - Entry Level,"-Great position for students/individuals just out of college.-Decent Salary (40k-45k based on experience).-Ability to learn a lot, including your own personal finances."
617," Toronto, ON ", 7 May 2019,Business Analysis Manager,3.0,Stable place to work,"Excellent company with a good cultural environment. Challenges with upper management alignment but good challenges to make you work harder.  The most enjoyable part is the cultural side of the company."
618," Toronto, ON ", 5 May 2019,INFORMATION SECURITY ADVISOR,5.0,The culture,"The culture are excellent, the job, the company, the salary, the friends, the management its a great place to work, a typical day at work are excellent"
619," Toronto, ON ", 5 May 2019,HR Hire & Onboarding Administrator October,5.0,fun place to work,"good company to build your carrier and succeed.Has many opportunities internally. Friendly environment and multicultural.Good place to learn and develop interpersonal skills,."
620," Toronto, ON ", 4 May 2019,Mortgage Fulfillment Officer,3.0,Contract worker in mortgages,"High workload, low compensation, high expectations with minimal training. Employees were nice enough, some helped if you got stuck or needed assistance with something you weren’t trained on (but still expected to complete)Work life balance - contract work so no overtime, but other employees decided to work 10 hr days. Crazy busy during the season."
621," Toronto, ON ", 3 May 2019,Network Analyst,5.0,nice environment to work around,"nice team great management to work with fully supported from management on working for any type of projects daily incident appreciation on well done, having fun to work with such great team."
622, calgary , 1 May 2019,banker,3.0,Ok place to work. Work enjoyment depended a lot on who your manager was.,I enjoyed working at this bank for some time. A lot has changed though. Scotia bank has adopted a lot of changes and thus the culture of the company seems to have shifted.
623," Calgary, AB ", 30 April 2019,Cashier Clerk,3.0,Great experience for people entering the workforce,a day of work will usually start at around 5 or 6 and go to around 10 or 11 depending on the event. you will learn how to interact with costumer at a very high rate and you will also learn that thinking ahead in service job is the best thing you can do.
624, Head Teller (Former Employee) ," Lac La Biche, AB ",Customer Service- Head Teller,3.0,Fast Paced environment,"Great people, great training and support along the way. Working for Scotiabank gave me the start in employment that I needed and I learned alot in the years I was there"
625," Toronto, ON ", 28 April 2019,"Senior UI Developer, Web Accessibility Specialist",5.0,One of my longest contracts,Best location. Just few steps from TTC. Very professional co-workers. 100% agile environment. Quick adapting of new technologies for new projects. Was able to work and learn
626," Toronto, ON ", 25 April 2019,Project Control Officer,4.0,a good place to work,"Not very stressful.Kind and talented people.Process a bit complicate.Multiple campuses.Flexibility to work from home sometimes.Social events and CSR activities."
627," Toronto, ON ", 24 April 2019,Mortgage Funding Officer,4.0,Fast Paced work environment,"This role was very fact paced, and very demanding. You will need to make sure you are available at your phone in order to answer any questions from clients, lawyers, team lead, etc."
628," Ottawa, ON ", 23 April 2019,Financial Advisor 5,5.0,An amazing place to work.,"Scotiabank has a great work culture and was a lot more supportive than TD. Having worked at both, I much prefer Scotia and can honestly say that scotia treats its employees much better. The one complaint is the one hour lunch as I’d much rather have 30 min and leave earlier. Give us the option to choose!"
629," Toronto, ON ", 21 April 2019,Sr. Business Analyst,5.0,Very productive place to work,Very productive place to work. The team was excellent and i had a very nice work and personal balance. Workculture was excellent. Work was well recognized.
630," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
631," Toronto, ON ", 21 April 2019,Associate Director,4.0,Challenging banking industry,"In terms of career advancement, Scotiabank has become very challenging, mainly due to the changing banking industry, which is moving towards AI and automation."
632," Toronto, ON ", 20 April 2019,Manager,3.0,Decent place to work,"Decent place to work, senior management still exists as partially an old boys network, needs to move to modern times. CEO more business driven than old CEO, no longer a place people spend their entire careers."
633," Vancouver, BC ", 19 April 2019,Customer Representative,5.0,People are the greatest asset at Scotiabank,"The co-workers are awesome, there is huge room for growth and support. Training is given well with a well-managed team of managers, CRs and FAs. The branch is a fairly new one, so there are not a ton of people coming in, which gives less chance to practice but there are enough opportunities to help out other branches if they are in need of a CR."
634," Williams Lake, BC ", 17 April 2019,FINANCIAL ADVISOR,5.0,Excellent group of people to work with,The Williams Lake BC branch is an amazing group of people to work with. I was able to move up within the company and I enjoyed helping the clients with their Day to Day banking needs.
635," Lethbridge, AB ", 15 April 2019,Customer Service Representative,5.0,Productive fun work environment,"I was a long time employee and very loyal to Scotiabank.I worked well with customers and staff alike.Scotiabank Victoria BC was the best in staff; we were a great team."
636," Scarborough, ON ", 15 April 2019,Customer Service Officer,4.0,impersonal,In Scotiabank the ambiance is very impersonal (contact between management or supervisory personal with Customer Service officers is done mainly via computer message system)
637," Toronto, ON ", 14 April 2019,Retail Lending Compliance Officer,3.0,Scotiabank,"Scotiabank is very interested in quickly developing it's newer employees, and is not interested in utilizing experienced employees to better their careers."
638," Gander, NL ", 14 April 2019,Financial Advisor,1.0,"Gander, Branch NL the most turnover for keeping employees","I was working with Scotia bank for over 2 years.I started as a bank teller,  then Universal Banker, then Financial Advisor.Moved quickly in 2 years.I love the job , my co workers, but the Managers, Supervisors, Assistant Manager don't have a clue how to manage. Don't have the knowledge to have that title.That's why they are having extremely high turnover.Stay away especially from Gander branch, Newfoundland."
639," Toronto, ON ", 13 April 2019,Associate,4.0,"Great learning and exposure, heavy stress","I was able to work in a variety of departments and developed an abundant of skills while working here. The competitiveness of Capital Markets, and time demands were demanding. I had different styles of managers, and learned unique things from each."
640,op student (Teller) (Former Employee) , Perth,High School Co-op student (Teller),4.0,Fun work experience,"I joined the team as a high school Co-op Student to learn the day to day operations of Scotia Bank. Friendly staff, understanding and helpful. Communicated with the assistant branch manager and Branch manager daily."
641," Toronto, ON ", 9 April 2019,PERSONAL BANKING OFFICER,5.0,Good bank to work for,Scotiabank seems to really care about it's reputation and culture. Employees for the most part are treated fairly. They encourage your growth and development and there is room for advancement.
642, Finance (Former Employee) ," Toronto, ON ",Senior Manager - Finance,5.0,Work life balance,Amazing place as it gives great work life balance opportunities. The pace of work is much modest and manageable at times. The management is very supportive of career advancement and provide great opportunities.
643," Toronto, ON ", 8 April 2019,Financial Analyst,1.0,Absolutely hated the job culture,"It could be just the department i worked with that the manager was horrible. Preferred people from her own community, spoke in their native language all the time and i felt out of place as i was the only one who didn't speak mandarin. Even though few people complained about the manager, the director supported her and the director was supported by SVP. 4 people (joined and left) left in a year from the department. Now the team is full of Mandarin speaking people. Absolutely hated their culture."
644," Welland, ON ", 7 April 2019,Customer Service Representative (Teller),3.0,"Good company, liked working there.I was a lead hand and enjoyed building guns, servicing tools, stabbing on and off the well. Enjoyed supervising othe","Good company, liked working there.I was a lead hand and enjoyed building guns, servicing tools, stabbing on and off the well. Enjoyed supervising other operators."
645," Toronto, ON ", 7 April 2019,Associate,4.0,Good people,"The people I have interacted with here are fantastic. Throughout the many different teams I work with, everyone will almost always try to help you and bring value to whatever they are doing. It is a good place to experience a friendly culture."
646," Toronto, ON ", 7 April 2019,Senior Financial Advisor,3.0,Workplace Culture,Extremely sales focused and does not place the clients' best interests in mind. Managers place unnecessary pressure on employees to exceed targets week over week which is not realistic.
647," Mississauga, ON ", 6 April 2019,Accounting Officer,3.0,Scotiabank - 2 years,"The job culture at Scotia is pretty good because the employees do their best to ensure inclusivity, enjoyment, and facilitate a celebratory surrounding. Job advancement is the biggest downfall, next to their menial salary. Nepotism reigns in the atmosphere as unqualified people are given positions because of who they know, regardless of what they can do."
648," Hubbards, NS ", 6 April 2019,Customer Service Representative,4.0,"used to be an excellent employer, is now a global employer","The bank industry in general has changed a lot, it is a global industry competing with large international banks, Scotiabank is no longer your friendly local branch with people you know and trust, they expended to south america, closing branches in Canada to maximise profits and are pushing customers to use electronic banking, pressuring customer reps to push the online services and record weekly results and sales."
649," Toronto, ON ", 5 April 2019,MANAGER Registered Products,3.0,People make the work place,"Since we spend most of our time at work I find it vitally important that the work place be a comfortable, inspirational, safe place where staff can explore, grow and succeed in their work life goals.  The tools needed for such an environment rest largely with the leaders and how they foster such an environment.  Management training is an important component along with an emphasis on coaching abilities and opportunities.  Recognizing an individual's strengths and knowing how to utilize and harness those strengths is one way to ensure employee happiness, loyalty and a successful business."
650," Morrisburg, ON ", 4 April 2019,Customer Service Representative,3.0,great team members to work with,the best part of the job besides my fellow team members was working with clients. I love helping them and if I could make somene's day it made me feel great!
651," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
652," Toronto, ON ", 4 April 2019,Proof Operator,5.0,Scotia Bank,My first employment with them was a life changer and unfortunately it was taken over by Symcor and the period that I worked for them is very interesting and challenging!
653," Toronto, ON ", 3 April 2019,Senior Derivatives Analyst,2.0,Glad I moved out,"I rated my overall experience, 2 stars out of 5, and that is me trying not to be mean.  It is was a dead-end job, with no advancement opportunities, where nepotism was rampant."
654," Toronto, ON ", 2 April 2019,Tax Manager,5.0,Great place to work!,"Great opportunity! I have gained a great experience, given any possible opportunity it has, it will surely add value to my professional profile. Thank you."
655," Calgary, AB ", 2 April 2019,Customer Service Representative (CSR),2.0,Terrible pay structure,"You barely get paid above minimum wage in a supervisory position. 17$ an hour is garbage for the work you’re expected to do. Management is extreme in favouritism. You can advance your career quickly but you have a small time frame to pass your exams-which are at your expense. They’re phasing out tellers in the next 10 years because they will have everything cash wise done by computers.They’re also extremely old fashioned and do everything on paper which is harmful for the environment. Also; the worst part is unless you’re management OR an account manager you will not get fulltime.I ended up quitting because of harassment from management."
656," Toronto, ON ", 1 April 2019,Infrastructure Project Lead,4.0,Interesting,"I did not work here for long, but the period for which I worked here, the work hours was flexible, the organization is inclusive and accommodate variety, work ethic is excellent and respectful."
657," Calgary, AB ", 31 March 2019,Cashier/Customer Service Representative,4.0,Fun atmosphere to work,its always great to find a lot of people fundraising and a place that offers them the opportunity to make more money for their foundations .You always get to work with people which is always a great thing !
658," Toronto, ON ", 30 March 2019,SENIOR FINANCIAL ADVISOR,4.0,great employer,Great opportunity to learn about day to day banking and personal finance. Opportunity to grow and take on different jobs and tasks. Great retirement plan
659," Toronto, ON ", 30 March 2019,Analyst,5.0,Productive fun and modern work environment,"Interesting place to work with people from all around the world!  Workforce is very diverse.  Management is proactive and promotes efficiency and effectiveness."
660," Toronto, ON ", 29 March 2019,Confirmation Officer,5.0,free lunches from traders and departments,"very busy , learned multi system operation, moderate relation, professional, meeting cut-of-time and at the end executing million of dollars in timley manner."
661," West Kelowna, BC ", 28 March 2019,Customer Service Representative,1.0,"Atrocious management, incompetent manager","Never in my life have I worked at a place as internally corrupt as Scotiabank. Managers only become managers because of inside alliances & friendships in corporate positions. There are 2 good managers as far as I’m aware during my working life. One of them is retired who was my previous manager and treat my fair. My coworkers are very nice just the new manager. During I am working, the manager always pushes me on the position all the time. EX: when we only have two tellers in the front, the manager was chatting with another teller and only me working in the front and I even cannot leave to the washroom. When negotiating with managers to promote, they will catch your mistakes like months ago to say no. They ask will be perfect and no mistakes happen (even I didn't all my cx name one time because I do not know how to pronounce and also lines up in the front). The manager did not coach once a week but will ask you to do everything right. The rule was made by the manager like cash releasing, and they can change all the time. Almost my old coworkers were left because the new manager came in. The last salary was not right and the manager has discrimination on me. The main branch in Toronto must come to do another review not just interview with everybody. Scotia will not be my choice anymore."
662," Toronto, ON ", 27 March 2019,Project Leader,4.0,"Low salary, easy work environment","I worked in IT Solutions- work environment is descent, however, pay is not good.Some projects have more work, but it was a good learning scope for me."
663," Toronto, ON ", 27 March 2019,Remittance Supervisor,3.0,Workplace,It was a great place to work when I was there.  The people on the most part were easy to work with.  The work was easy to do and the management were always supportive.
664," Toronto, ON ", 26 March 2019,Sr. Project Manager,4.0,The groups I have worked for  are very results oriented,I have had a really good experience.  I have been exposed to different types of projects with implementations in Canada and different countries in South America.
665," Hamilton, ON ", 26 March 2019,Customer Service Representative,5.0,Productive and professional environment,"Everyday working at Scotiabank was different. I was constantly learning new things about the processes and products that we offer our customers. Very helpful management, always there to answer questions."
666," Halifax, NS ", 25 March 2019,Bilingual Customer Service Representative,1.0,"Atrocious management, incompetent HR department, constant negligence","Never in my life have I worked at a place as internally corrupt as Scotiabank. The level of micromanaging, negligence with employees, and incompetence among managers is appalling. Human Resources takes 5+ days to respond to inquiries (after promising 1 day response times) and take 45+ minutes to answer the phone - and trust me, you’ll be calling them a lot. Pay was incorrect multiple times, managers only become managers because of inside alliances & CHILDHOOD friendships or siblings working in the corporate positions. There are 2 good managers as far as I’m aware out of the dozens the contact centre has. Managers are known to pressure people to return from medical leave. Heavy sales targets for regular customer service reps and systems constantly failing. Not to mention that there are essentially no protections in place for reps who take aggressive customer calls. People are known to have come off of bad calls crying and management puts them back on the phone. Even had one of my coworkers assaulted with racist remarks by a customer and had to continue taking calls in fear of loss of pay. Over half of my training group (8 people, to be specific) have quit in under a year and I know at least 10 people on stress leave. Do. Not. Work. Here."
667," Toronto, ON ", 22 March 2019,SENIOR FUND ACCOUNTANT,3.0,Investment banking,"Give us your opinion about a typical day at work, what you learned, management, culture, workplace environment, the hardest part of the job and the most enjoyable part of the job, if any."
668," Orleans, ON ", 21 March 2019,Financial Advisor,1.0,really bad don apply waist of time,"training is bad and mangers are not supportive, sales driven, favoritism and you have to get managers to like you or you are black listed . poor technology"
669," Corner Brook, NL ", 19 March 2019,Customer Representative,2.0,"Intersting place to work, can be stressful","High Fast-paced environment Little supervisionStressful on timesNeed to learn quickly and make snap decisions Dealing with the public Need to have a calm professional demeanor"
670," Toronto, ON ", 19 March 2019,Senior Business Analyst,4.0,"good team, mixture of smart and lacklaster people",very challenging work environment. some people are very aggressive. Requires strong presentation skills. not very good work life balance. Politics is pretty bad
671," Toronto, ON ", 19 March 2019,Chef,4.0,A great and fun place to work,"Lots of food resources of good quality, Teamwork oriented, comfortable hours, a great place that offers the opportunity for personal and professional growth"
672," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
673," Toronto, ON ", 19 March 2019,"Vice President ,  Global Procurement Services",3.0,"good people, new and innovative culture","Fun place to work,  Great people,  Moving away from historical stoic culture.  Lots of opportunities to be on leading edge of digital factory, and design, and bank of future"
674," Toronto, ON ", 15 March 2019,Senior Analyst,3.0,Slow moving bank,Takes way too long for decisions to be made. Just another big bank that is being cheap and not willing to invest in its people. Key decisions are made at the top of house and forced onto its employees.
675," Toronto, ON ", 15 March 2019,Accounting Analyst,4.0,Student Coop,Very good team atmosphere and culture. Lots of opportunity to develop yourself with programs and extra curricular teams you can join. Good work life balance.
676," Toronto, ON ", 14 March 2019,Senior Analyst,4.0,Good place to work and learn,Client onboarding is one area in the banking that will give you so much opportunity to learn and build relationships to different stakeholders.  Good trainings are provided to employees.
677," Calgary, AB ", 14 March 2019,"Associate Director, Oil Trading",1.0,Not a great place,"Locations not located at head office, there can be significant disparity between what head office mandates are for people returning to work due to health issues and what actually occurs upon return to work.   Most staff was supportive but select few were very bad."
678," Port Credit, ON ", 13 March 2019,Customer Service Representative,3.0,alright,"typical 9-5 work with typical 9-5 BS politics, coworkers and supervisor were good but management sucked always asked for the impossible and werent sympathetic at all"
679," Toronto, ON ", 12 March 2019,Senior QA Analyst,5.0,Work Culture,Work Culture in Scotiabank is really good. I never felt much stress out of office hours due to the overload of work. People respect their behaviour and work style.
680," Hamilton, ON ", 12 March 2019,Financial Advisor,3.0,Great place to work - depending on your manager!,"Worked for a few different managers, some are great but some are bitter and shouldn't be there any more.  One manager I had would cherry-pick leads and clients (i.e. prospective sales) and take them off 1 advisers calendar and give them to her favorites. After staff have been there for 10+ years they have a sense of ""you can't fire me"" and leadership (district & regional VPs) leave them alone."
681," Kitchener, ON ", 11 March 2019,Cashier,2.0,Fun workplace,The colleagues were very nice and helping. I learned a lot about different industries and how they function. It was a great experience working with Scotiabank.
682, Contract (Current Employee) ," Fort McMurray, AB ",Senior Financial Advisor - Contract,5.0,Na,"Great place to work, they value their employees. Very diverse and inclusive culture. The DVP and BM are very supportive. Coaching and training for employees are priorities"
683," Edmonton, AB ", 7 March 2019,Senior Financial Advisor/Analyst,5.0,Very Lively Environment,"What ever a person could imagine in a job. Security, good salary, good environment, respect, everything is there. I would recommend and would approve this institution for everyone."
684," Yorkton, SK ", 6 March 2019,Senior Financial Advisor,5.0,Amazing Place to Work if you are Eager to Learn,"I am speechless when it comes to describing the work culture as for me it is the best place to work. Work does gets challenging sometimes which keeps me on my toes and is an excellent opportunity to grow as well. Work life balance and benefits are amazing"
685,office management (Former Employee) ," Beaumont, AB ",Mid-office management,3.0,Very bi-polar atmosphere.,"The manager was easy to work with and quick to teach. Some of the other staff were a lot of fun and had a family feel when they were working. One however set the tone of the day, bullying and abusive for the most part but management would not ratify the situation despite the complaints by the other workers as this person had seniority. Work culture definitely allowed the harassment of other employees."
686," Toronto, ON ", 5 March 2019,"Analyst,",3.0,Good Working Environment,"Long hours and not fairly compensated Not properly recognized for your workLittle to no investment in PeopleTechnology development and support lacking"
687," Toronto, ON ", 5 March 2019,Senior Engineer,3.0,Large organisation  with mixed bag of talent,Being a financial institution it's only driven by delivering results to the majority stakeholders. They keep breaking revenue records but it's never enough.
688," Alliston, ON ", 5 March 2019,Customer Representative,1.0,Better to be unemployed,"This company is alright, though it is Canada's 3rd largest bank. The pay is c**p. As a Customer Representative I made just above minimum wage and managed a lot of physical cash. The training is awful, it does not prepare you for the job, and Management is non-supportive. Benefits themselves were actually pretty good. Vacation time was very basic. You can't take sick or personal days before you have been there over 3 months."
689, Alberta , 4 March 2019,Customer Service Representative/Teller,4.0,Inclusive Workplace,Scotiabank is a very inclusive workplace.  They are sensitive to their employees needs.  The pay is not that great when you are starting out but the benefits make up for that.
690," Toronto, ON ", 2 March 2019,Director,4.0,A Financial Institution Struggling with Digital Transformation,I worked at Scotiabank for almost a decade and I learned a lot and enjoyed my team.  Executive Management was largely ineffective and there was seemingly endless aimless restructuring.  I cannot in good conscience recommend investing your career in Scotiabank. They don’t keep their commitments to staff and I expect significant reductions in force over the medium to long term.
691," Scarborough, ON ", 26 February 2019,Senior Business Analyst,1.0,There is no growth,The company has a very bad culture and does not provide an opportunity for growth to their employees. The culture expects you to work and not ever get rewarded or recognized
692," Toronto, ON ", 25 February 2019,Branch Redirect Associate,3.0,Scotiabank's Redirect Business,"Taking over 50 calls per day.Learned about various finance instruments and banking.Great workplace culture. Ran regular inclusive employee social events.Enjoyed flexible hours of work."
693," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
694," Toronto, ON ", 24 February 2019,Mortgage Loan Officer,4.0,Ok place to work,"Work culture is sub standard but you get a lot to learn. Due to the size of the company, the workload is great. Company itself is good but you need to be in a better position."
695, Nova Scotia , 24 February 2019,Programmer Analyst Advisory,5.0,hard work,"With the bank culture, everybody has the ownership feeling of projects and works hard to get tasks done with a good quality and efficiently. Fast paced career development and Agile working environment."
696," Calgary, Canada ", 24 February 2019,Assistant Manager,5.0,Teamwork,Excellent teamwork and support from management. Extensive benefits. Full training and supportive resources. Consistent feedback and recognition.  Enjoyed going to work everyday.
697," Halifax, NS ", 23 February 2019,Customer Service Officer,3.0,Unrealistic Expectations,"Some of the people that worked there have been there for 10+ years, some even 30+. I don't know how they could stand being there for that long.  if you were working on something for a customer and they hung up before you finished you would just stop what you were doing and take the next call because Scotiabanks stats mean more to them than their customer. So if you didn't do a customers request in time they would give you a poor survey which you get penilized for. It's a backwards system. A friend of mine and I both worked there, and we both had to leave, my anxiety was so high I was in the bathroom every 5 minutes because it would trigger my IBS. Some managers are okay but most are VERY hard on their agents. If you want to move up, the only way you can is if you have perfect stats and become friends with someone in management. You were expected to get to work 20 minutes before your shift started to set your whole station up which is unpaid time."
698," Stratford, ON ", 23 February 2019,Customer Service Solutions,1.0,Management,After re-org there were many growing pains and tough to keep good workers. Alot of turn over.  This turnover was not great for keeping customers happy. I would recommend trying to keep employees by incentivizing them to stay.
699," Toronto, ON ", 21 February 2019,Information Security Analyst,2.0,Not a good culture,"Not a dynamic and friendly environment, micromanagement style yet, but good vacation and personal days off. good for people who rather wish to maintain their spot that move on"
700," Brampton, ON ", 21 February 2019,Bank Manager,4.0,"Good place to work, room for advancement.","Scotiabank has been a good place to work.  Supportive peers and supervisors.  The goals and expectations are becoming increasingly demanding. The hours are becoming longer.  Constantly have staffing shortages which have negatively impacted the well being of the teams.Technology is being updated however the transition regularly impacts day to day operations"
701," Braeside, AB ", 21 February 2019,Sr Cusomer Service Representative,1.0,Worked as a Sr customer representative,"Scotia Braeside, I started working in 2018, but as i liked sales job, would like to move ahead in life. Dealt with customers who were from the close by neighbourhood. Professionalism was a foreign word in the branch."
